GOGC,Mallocs,Frees,HeapAlloc,HeapSys,HeapReleased,NextGC,LastGC,PauseTotalNs,NumGC,NumForcedGC,GCCPUFraction,TotalTimeExecutionInMilliseconds
25,15622,5800,1485952,7602176,5193728,2023696,1737036936611952360,306768,5,5,0.15,0
25,89326,40905,8121984,12156928,3039232,8597686,1737036936645562238,946171,11,6,0.50,0
25,724341,312845,51620376,62717952,3825664,63789518,1737036936911880776,1866624,19,7,0.50,220
25,1058939,514245,63072504,72187904,2523136,69037172,1737036936983648158,3050551,20,8,0.46,0
25,1323516,736850,59575072,76152832,2621440,64465226,1737036937069037544,4464829,21,9,0.42,0
25,1563659,917836,63475688,76840960,1884160,69683682,1737036937151495191,5278299,22,10,0.40,0
25,1845913,1113807,67750600,84410368,3588096,72030678,1737036937228457332,6804467,23,11,0.39,12
25,2068647,1358155,64475976,86769664,630784,84271440,1737036937401893729,7683260,25,12,0.37,0
25,2325982,1516911,66203952,118816768,401408,73516910,1737036937449587098,10745612,26,13,0.36,0
25,2602176,1678113,78378928,87195648,3383296,89404230,1737036937547542577,10913343,27,14,0.36,0
50,24497,11496,2195776,4292608,1261568,2891668,1737036937784368526,1015047,6,5,0.36,0
50,191081,77636,16905584,22708224,4554752,22977212,1737036937840711613,1662647,10,6,0.34,0
50,390979,140000,31883440,37552128,4112384,36405412,1737036937874283808,1844136,11,7,0.33,0
50,982858,377917,78440208,81723392,811008,87180912,1737036937997505337,2051114,13,8,0.34,0
50,1345165,854908,62053080,117800960,1081344,95350216,1737036938210986669,5285580,15,9,0.28,0
50,1613393,967201,71627960,146669568,4751360,104956640,1737036938271556790,6264033,16,10,0.27,0
50,1853331,1149939,74329408,159678464,8331264,117552812,1737036938368623953,6956204,17,11,0.26,0
50,2087402,1327062,75399880,178880512,13402112,115287376,1737036938441998938,7790363,18,12,0.26,0
50,2333439,1497503,78206384,184877056,38731776,119953092,1737036938527387580,8256577,19,13,0.26,0
50,2586822,1661570,86727968,181108736,67493888,140618128,1737036938643268887,8512211,20,14,0.25,0
100,135579,31445,15916504,21135360,4145152,18813608,1737036938897870408,500995,6,5,0.19,0
100,570157,174646,49101352,54853632,2727936,82570784,1737036938994259260,705550,8,6,0.23,0
100,817826,389931,50723896,74317824,4472832,117359008,1737036939101850686,1269505,9,7,0.21,0
100,1067057,591417,51481216,75464704,1728512,104493344,1737036939159566786,2812242,10,8,0.22,0
100,1319755,763432,56604304,80314368,3842048,124244816,1737036939252609265,3335199,11,9,0.22,0
100,1569765,960790,56220536,91947008,2547712,120415088,1737036939332651625,5356890,12,10,0.21,0
100,1827474,1135665,61687160,82640896,4169728,139872096,1737036939422075816,5706056,13,11,0.22,0
100,2073291,1334516,61531568,84541440,2228224,133408904,1737036939498936801,7301065,14,12,0.22,0
100,2327096,1504031,69074288,88571904,2580480,155967512,1737036939594024583,7758326,15,13,0.22,0
100,2573177,1716308,66219952,98074624,999424,130442360,1737036939653258720,10213581,16,14,0.23,0
200,68473,16789,7230096,12550144,4243456,8388608,1737036939833575721,375494,5,5,0.17,0
200,383893,120966,31787928,37126144,2703360,80289568,1737036939904607650,682210,7,6,0.17,0
200,792556,306563,49843032,57802752,5038080,90600272,1737036939961349248,1408983,8,7,0.17,0
200,1040880,569465,46273088,74481664,5283840,164068664,1737036940099648465,2389347,9,8,0.15,0
200,1279314,752279,47880960,74219520,2916352,147317176,1737036940153824191,3392383,10,9,0.16,0
200,1527723,918893,53506472,70909952,3072000,190384352,1737036940247311439,3671474,11,10,0.17,0
200,1773067,1103968,52916224,74252288,6438912,164437224,1737036940308215677,5027478,12,11,0.18,0
200,2044541,1277081,67514536,84901888,2490368,239650352,1737036940417548005,5382952,13,12,0.19,0
200,2295885,1484261,69270608,99942400,2719744,207014096,1737036940487435472,7882400,14,13,0.19,0
200,2541805,1657329,71400616,103579648,1687552,231533616,1737036940584352893,8487262,15,14,0.19,0
400,278558,71753,24793648,32276480,5980160,103122856,1737036940820596448,279142,5,5,0.15,0
400,532515,213506,33493112,48037888,4317184,185382360,1737036940902929928,767279,6,6,0.12,0
400,770490,387128,37329504,52396032,2695168,209554216,1737036940969073526,1128406,7,7,0.14,0
400,1032484,564779,41358808,52396032,1548288,214438312,1737036941026247387,1940800,8,8,0.16,0
400,1314230,735850,61391568,79429632,5373952,357174744,1737036941122211051,2270866,9,9,0.17,0
400,1567255,953257,61742736,90144768,3751936,313000904,1737036941191868888,4384065,10,10,0.18,0
400,1820261,1134019,63802000,94535680,1835008,343960232,1737036941274370340,5198265,11,11,0.18,0
400,2073158,1317626,66884384,103743488,1458176,388332120,1737036941376558667,6367944,12,12,0.18,0
400,2315373,1503134,68393576,114130944,704512,366873240,1737036941453011369,7671176,13,13,0.19,0
400,2562512,1676856,72300240,120225792,8757248,413883888,1737036941558425981,8396793,14,14,0.19,0
