GOGC,Mallocs,Frees,HeapAlloc,HeapSys,HeapReleased,NextGC,LastGC,PauseTotalNs,NumGC,NumForcedGC,GCCPUFraction,TotalTimeExecutionInMilliseconds
25,1148,773,567664,3637248,1892352,1210936,1736969057665748352,256273,11,5,0.00,90
25,1518,1138,567744,3637248,1892352,1204904,1736969057758052239,357737,15,6,0.00,90
25,1897,1508,633840,3637248,1884160,1270840,1736969057843743363,513413,19,7,0.00,84
25,2276,1881,634184,3637248,1867776,1271272,1736969057934640655,672638,23,8,0.00,89
25,2648,2249,634224,3637248,1867776,1271224,1736969058023207620,766666,27,9,0.00,90
25,3020,2634,436600,3637248,1990656,1211392,1736969058147310212,878128,31,10,0.00,126
25,3390,2990,568424,3637248,1695744,1343312,1736969058265257915,995799,35,11,0.00,112
25,3756,3335,701048,3637248,1859584,1272768,1736969058338731251,1160318,39,12,0.00,72
25,4126,3699,635816,3637248,1859584,1272816,1736969058410672966,1244871,43,13,0.00,70
25,4503,4067,636640,3637248,1859584,1273640,1736969058489441245,1400134,47,14,0.00,83
50,1119,631,1741128,3637248,1163264,2097152,1736969059030536621,284860,7,5,0.00,82
50,1478,986,1741160,3637248,1163264,2097152,1736969059116653111,375288,9,6,0.00,87
50,1837,1339,1741480,3637248,1015808,2097152,1736969059200876939,467797,11,7,0.00,84
50,2197,1692,1741832,3637248,1089536,2097152,1736969059286862418,545334,13,8,0.00,77
50,2559,2048,1742144,3637248,1015808,2097152,1736969059357888723,637678,15,9,0.00,70
50,2925,2405,1742808,3637248,999424,2097152,1736969059428583844,746448,17,10,0.00,68
50,3288,2764,1742928,3637248,1163264,2097152,1736969059498136000,826255,19,11,0.00,69
50,3649,3121,1743136,3637248,983040,2097152,1736969059563508364,871318,21,12,0.00,62
50,4012,3475,1743528,3637248,942080,2097152,1736969059629213698,957318,23,13,0.00,69
50,4374,3828,1744288,3637248,1105920,2097152,1736969059714115917,1084556,25,14,0.00,109
100,1108,452,3286120,7831552,3858432,4194304,1736969060245924174,167854,5,5,0.00,80
100,1465,803,3287408,7831552,3637248,4194304,1736969060326973966,185442,6,6,0.00,70
100,1822,1154,3287728,7831552,3637248,4194304,1736969060397419564,260628,7,7,0.00,70
100,2183,1505,3288392,7831552,3637248,4194304,1736969060468603475,308309,8,8,0.00,69
100,2543,1859,3288688,7831552,3637248,4194304,1736969060538168212,423656,9,9,0.00,67
100,2900,2214,3288760,7831552,3637248,4194304,1736969060606156717,482762,10,10,0.00,73
100,3256,2564,3289056,7831552,3604480,4194304,1736969060680300781,503582,11,11,0.00,74
100,3612,2914,3289352,7831552,3604480,4194304,1736969060755226831,533924,12,12,0.00,67
100,3972,3264,3289968,7831552,3604480,4194304,1736969060823463205,599039,13,13,0.00,69
100,4329,3619,3290136,7831552,3604480,4194304,1736969060892812346,618029,14,14,0.00,66
200,1102,452,3283680,7897088,3932160,8388608,1736969061417647373,116534,5,5,0.00,89
200,1459,803,3284968,7897088,3891200,8388608,1736969061507872345,176974,6,6,0.00,108
200,1821,1155,3285608,7897088,3874816,8388608,1736969061616417736,209818,7,7,0.00,121
200,2183,1511,3285952,7897088,3842048,8388608,1736969061738613456,252987,8,8,0.00,93
200,2547,1865,3286568,7897088,3776512,8388608,1736969061832712294,316850,9,9,0.00,93
200,2904,2222,3286592,7897088,3743744,8388608,1736969061926123185,349054,10,10,0.00,86
200,3260,2572,3286888,7897088,3743744,8388608,1736969062012671836,374051,11,11,0.00,88
200,3624,2924,3287552,7897088,3637248,8388608,1736969062101543406,396711,12,12,0.00,87
200,3985,3280,3287896,7897088,3637248,8388608,1736969062189943732,479284,13,13,0.00,87
200,4342,3635,3288064,7897088,3145728,8388608,1736969062278380866,519347,14,14,0.00,71
400,1103,454,3283696,7864320,3891200,16777216,1736969062812216343,238146,5,5,0.00,87
400,1464,805,3285304,7864320,3448832,16777216,1736969062899779425,295772,6,6,0.00,86
400,1822,1160,3285312,7864320,3514368,16777216,1736969062986644267,317902,7,7,0.00,83
400,2188,1511,3288184,7831552,3309568,16777216,1736969063071019515,341453,8,8,0.00,88
400,2544,1863,3288432,7831552,3309568,16777216,1736969063159588855,365403,9,9,0.00,143
400,2906,2217,3288872,7831552,3506176,16777216,1736969063303284095,409460,10,10,0.00,71
400,3266,2570,3289184,7831552,3506176,16777216,1736969063374622054,502267,11,11,0.00,71
400,3622,2923,3289416,7831552,3506176,16777216,1736969063446369239,564658,12,12,0.00,69
400,3982,3275,3289760,7831552,3473408,16777216,1736969063516233094,619827,13,13,0.00,76
400,4339,3628,3290200,7831552,3473408,16777216,1736969063592948254,642325,14,14,0.00,90
